timestamp,msg_size_bytes,avg_usec,stddev_usec,min_usec,max_usec
1760568215,128,23.398,1.507,21.515,105.712
1760568228,256,23.005,0.997,21.617,67.394
1760568240,512,23.523,0.775,22.359,155.578
1760568252,1024,28.130,1.340,24.247,402.756
1760568264,1500,29.210,9.253,13.874,559.335
1760568277,2048,51.772,15.068,14.889,138.327
1760568289,4096,65.994,20.746,18.620,108.215
1760568301,8192,119.283,23.544,30.260,193.726
